aggregator,shift,seed,client_group,client_index,leave_one_out_influence
fedavg,1.5,13,majority,1,0.040992025
fedavg,1.5,13,majority,2,0.044634547
fedavg,1.5,13,majority,3,0.086620286
fedavg,1.5,13,majority,4,0.10000266
fedavg,1.5,13,majority,5,0.10199696
fedavg,1.5,13,minority,0,0.18492527
fedavg,1.5,13,minority,1,0.116508745
fedavg,1.5,14,majority,0,0.05315647
fedavg,1.5,14,majority,1,0.14508165
fedavg,1.5,14,majority,2,0.07459548
fedavg,1.5,14,majority,3,0.098958015
fedavg,1.5,14,majority,4,0.058208816
fedavg,1.5,14,majority,5,0.07644418
fedavg,1.5,14,minority,0,0.19958879
fedavg,1.5,14,minority,1,0.19974774
fedavg,1.5,15,majority,0,0.074641146
fedavg,1.5,15,majority,1,0.021562872
fedavg,1.5,15,majority,2,0.1450686
fedavg,1.5,15,majority,3,0.16799009
fedavg,1.5,15,majority,4,0.073784165
fedavg,1.5,15,majority,5,0.0718682
fedavg,1.5,15,minority,0,0.15527846
fedavg,1.5,15,minority,1,0.23964141
fedavg,1.5,16,majority,0,0.095144674
fedavg,1.5,16,majority,1,0.1082186
fedavg,1.5,16,majority,2,0.09894228
fedavg,1.5,16,majority,3,0.07856761
fedavg,1.5,16,majority,4,0.16482083
fedavg,1.5,16,majority,5,0.069046624
fedavg,1.5,16,minority,0,0.2129013
fedavg,1.5,16,minority,1,0.20594902
fedavg,1.5,17,majority,0,0.038150072
fedavg,1.5,17,majority,1,0.092954494
fedavg,1.5,17,majority,2,0.118525304
fedavg,1.5,17,majority,3,0.124289006
fedavg,1.5,17,majority,4,0.07851549
fedavg,1.5,17,majority,5,0.06889673
fedavg,1.5,17,minority,0,0.1709332
fedavg,1.5,17,minority,1,0.13410611
fedavg,1.5,18,majority,0,0.034005668
fedavg,1.5,18,majority,1,0.08263383
fedavg,1.5,18,majority,2,0.11438547
fedavg,1.5,18,majority,3,0.07444128
fedavg,1.5,18,majority,4,0.060075864
fedavg,1.5,18,majority,5,0.044467375
fedavg,1.5,18,minority,0,0.14345486
fedavg,1.5,18,minority,1,0.14545526
fedavg,1.5,19,majority,0,0.12248379
fedavg,1.5,19,majority,1,0.07656528
fedavg,1.5,19,majority,2,0.03167304
fedavg,1.5,19,majority,3,0.10465752
fedavg,1.5,19,majority,4,0.07094612
fedavg,1.5,19,majority,5,0.11706231
fedavg,1.5,19,minority,0,0.19093071
