aggregator,attack,round,num_honest,num_attackers,dim,byzantine_fraction,clip_radius,seed,distance_from_true_value,asr
dss_fedavg,persistent_sybil,7,9,1,3,0.2,1.0,2001,8.485865,0.09998605
dss_fedavg,persistent_sybil,8,9,1,3,0.2,1.0,2001,8.590753,0.101221904
dss_fedavg,persistent_sybil,9,9,1,3,0.2,1.0,2001,8.61867,0.10155085
dss_fedavg,persistent_sybil,10,9,1,3,0.2,1.0,2001,8.431547,0.09934604
dss_fedavg,persistent_sybil,11,9,1,3,0.2,1.0,2001,8.465362,0.09974446
dss_fedavg,persistent_sybil,12,9,1,3,0.2,1.0,2001,8.594376,0.10126459
dss_fedavg,persistent_sybil,13,9,1,3,0.2,1.0,2001,8.673667,0.102198854
dss_fedavg,persistent_sybil,14,9,1,3,0.2,1.0,2001,8.356325,0.09845972
dss_fedavg,persistent_sybil,15,9,1,3,0.2,1.0,2001,8.52276,0.10042077
dss_fedavg,persistent_sybil,16,9,1,3,0.2,1.0,2001,8.405448,0.09903852
dss_fedavg,persistent_sybil,17,9,1,3,0.2,1.0,2001,8.621149,0.10158005
dss_fedavg,persistent_sybil,18,9,1,3,0.2,1.0,2001,8.533371,0.100545794
dss_fedavg,persistent_sybil,19,9,1,3,0.2,1.0,2001,8.658656,0.102021985
dss_fedavg,persistent_sybil,0,9,1,3,0.2,1.0,3001,8.542523,0.10065363
dss_fedavg,persistent_sybil,1,9,1,3,0.2,1.0,3001,8.4291725,0.09931806
dss_fedavg,persistent_sybil,2,9,1,3,0.2,1.0,3001,8.64197,0.10182538
dss_fedavg,persistent_sybil,3,9,1,3,0.2,1.0,3001,8.407949,0.09906799
dss_fedavg,persistent_sybil,4,9,1,3,0.2,1.0,3001,8.461591,0.09970003
dss_fedavg,persistent_sybil,5,9,1,3,0.2,1.0,3001,8.449982,0.09956325
dss_fedavg,persistent_sybil,6,9,1,3,0.2,1.0,3001,8.416168,0.099164836
dss_fedavg,persistent_sybil,7,9,1,3,0.2,1.0,3001,8.388801,0.098842375
dss_fedavg,persistent_sybil,8,9,1,3,0.2,1.0,3001,8.448019,0.09954012
dss_fedavg,persistent_sybil,9,9,1,3,0.2,1.0,3001,8.605938,0.10140083
dss_fedavg,persistent_sybil,10,9,1,3,0.2,1.0,3001,8.60386,0.10137634
dss_fedavg,persistent_sybil,11,9,1,3,0.2,1.0,3001,8.350465,0.098390676
dss_fedavg,persistent_sybil,12,9,1,3,0.2,1.0,3001,8.611935,0.10147148
